"ID"	"name"	"description"	"hazard_rating"	"distribution"	"elimination_method"
"1"	"白星花金龟"	"白星花金龟是一种常见的鞘翅目昆虫，其幼虫为腐食性，在自然界中可以取食腐烂的秸秆、杂草以及畜禽粪便等。该虫以成虫危害为主，食谱极广，涵盖14科26属29种植物，包括粮食、水果、蔬菜等经济作物。"	"4"	"在我国主要分布区域在东北、华北、黄淮海地区以及西北地区，主要分布的省区有黑龙江、吉林、辽宁、内蒙古、河北、陕西、山西、山东、河南+E2:E14、安徽、江苏、浙江、四川、湖北、江西、湖南、广西、贵州、福建、台湾以及新疆。在国外分布于蒙古、朝鲜、曰本、俄罗斯等国家。"	"1.农业防治-在深秋及初冬进行深翻土地,集中消灭粪土交界处的幼虫和踊,减少白星花金龟的越冬虫源。2.化学防治-利用药剂处理粪肥，杀死幼虫以及采用糖醋液诱杀成虫、诱集植物捕杀等。3.利用趋性防治-将红糖、醋、白酒与水按照4:3:1:2的比例配成糖醋液，对其进行诱杀。"
"2"	"斑衣蜡蝉"	"斑衣蜡蝉（学名：Lycorma delicatula）是同翅目蜡蝉科的昆虫，民间俗称“花姑娘”、“椿蹦”、“花蹦蹦”、“灰花蛾”等。其在多种植物上取食活动，吸食植物汁液，是多种果树及经济林树木上的重要害虫之一，同时也是一种药用昆虫，虫体晒干后可入药，称为“樗鸡”。"	"4"	"主要分布在东北、华北、华东、西北、西南、华南以及台湾等地区。"	"1.园艺防治-建园时，不与臭椿和苦楝等寄主植物邻作，降低虫源密度减轻危害；增加树冠通风透光，降低果园湿度，减少虫源。2.药剂防治-在低龄若虫和成虫危害期，交替选用30% 氰戊·马拉松（ 7.5%氰戊菊酯加22.5% 马拉硫磷）乳油2000 倍液、50%敌敌畏乳油1000 倍液、2.5% 氯氟氰菊酯乳油2000倍液。3.人工防治-若虫和成虫发生期，用捕虫网进行捕杀。4.种植防治-斑衣蜡蝉以臭椿为原寄主，在危害严重的椿林内，应改种其它树种或营造混交林。"
"3"	"菜蝽"	"菜蝽（学名Eurydema dominulus）属半翅目，蝽科，又称河北菜蝽。其危害甘蓝、花椰菜、白菜、萝卜、油菜、芥菜等十字花科蔬菜。成虫、若虫刺吸植物汁液，尤喜刺吸嫩芽、嫩茎、嫩叶、花蕾和幼荚。其唾液对植物组织有破坏作用，影响生长，被刺处留下黄白色至微黑色斑点。幼苗子叶期受害则萎蔫甚至枯死；花期受害则不能结荚或耔粒不饱满。此外，还可传播软腐病。"	"5"	"分布在我国南北方油菜和十字花科蔬菜栽培区，吉林、河北居多。云南菜蝽分布在云南、四川、宁夏。寄主有油菜、白菜、萝卜、甘蓝、花椰莱、芥菜等十字花科植物及亚麻。"	"1.农业防治-及时冬耕和清理菜地，以消灭部分越冬成虫。2.药剂防治-使用灭杀毙乳油4000倍液喷雾防治，或用2.5%保得乳油3000倍液喷雾防治，或用50%辛氰乳油3000倍液防治，或用20%增效氯氰乳油3000倍液喷雾防治，或用功夫菊酯乳油3000倍液喷雾防治。"
"4"	"草履蚧"	"草履蚧，又称“树虱子、草履硕蚧、草鞋介壳虫、草鞋虫”等，属同翅目草履蚧属昆虫，是一种食性杂、分布广、危害重的刺吸式口器害虫，除危害核桃、桃、梨、苹果、杏、等果树外，还危害刺槐、白蜡、杨、柳、雪松、法桐等绿化树。树木受害后，树势衰弱、枝梢枯萎、发芽迟缓、叶片早落，甚至枝条或整株枯死，造成巨大的经济损失。"	"5"	"分布华北、华南、华中、华东、西南、西北等地，国外分布于日本。"	"草履蚧生活隐蔽，较难防治，因此应采取防治综合措施才能达到减轻或消除虫害的目的。1.物理防治-剪除虫枝，对生长过旺、枝叶郁闭的枝条进行疏剪，改善通透性，将剪除的枝条集中销毁。于秋冬季节结合日常养护管理，对当年虫害发生严重的树木，可用竹片、软刷清除树缝内的卵囊，以减少虫量。2. 化学防治-发现已有若虫上树，应及时用2.5%溴氰菊酯2000倍液或25%蚧虱净800倍液或10%吡虫啉3000倍液喷雾触杀，喷药时间应在3月中旬之前。3.树干注药-在树干基部周围打3~4个孔，用注射器向孔内注入氧化乐果、毗虫啉等内吸性农药，每孔注入2~4mL，有较好的杀虫效果。 "
"5"	"茶翅蝽"	"茶翅蝽，俗称“臭板虫”“梨蝽象”，茶翅蝽寄主范围广泛，可危害苹果、梨、桃等果树，也可危害大豆、菜豆和甜菜等作物，此外，对榆树、梧桐和枸杞等树木亦有危害。在新入侵地由于缺乏自然天敌的控制，茶翅蝽迅速演变成为主要害虫，还因其聚集在房屋内越冬，并在受到干扰或惊吓时放出难闻的气味而令人不悦。它曾是我国20世纪90年代的主要农业害虫，由于其全球性的扩散广泛的寄主和严重的危害再一次引起了人们的高度关注。"	"3"	"茶翅蝽在中国、朝鲜、韩国和日本作为本地种群广泛分布。在日本被视为重要的农业害虫；在韩国严重威胁水稻、山地作物、果树以及杂草。茶翅蝽除了在新疆和青海地区没有报道外，在中国其他地区均有发生，二十世纪九十年代以前该虫并不是主要的农业害虫。自二十世纪九十年代中期以来，茶翅蝽开始迅速传播到世界各地。1996年秋天，茶翅蝽在美国宾夕法尼亚艾伦镇首次被发现。此后，茶翅蝽便迅速的在美国传播，在新墨西哥州、南卡罗来纳州、新泽西州、加利福尼亚州、缅因州及华盛顿州等40个州入侵为害。2010年，加拿大的安大略省和魁北克省亦发现了茶翅蝽的入侵。2010年，新西兰从东京进口的汽车里截获了茶翅蝽。在欧洲，茶翅蝽首次于2004年在列支敦士登的诱虫灯中被发现，2007年在瑞士的苏黎世周边地区发现了茶翅蝽的种群，之后在德国、法国、意大利、匈牙利和希腊都报道了茶翅蝽的发生。"	"1.生物防治-从茶翅蝽的原产地区引进其天敌，在新入侵地的农田或自然生态系统中释放并建立种群，达到控制该害虫的目的。2.化学防治-在茶翅蝽的新入侵地，使用拟除虫菊酯和新烟碱类广谱性杀虫剂，田间使用硫丹，灭多威，噻虫嗪和联苯菊酯等。3.利用其假死性-选择气温<21℃的适宜日时段，以棒击震树落虫，地面喷药触杀，可取得高效、安全的防治效果。4.可以利用该虫聚集越冬的习性，采用“陷阱”等有效的诱集工具，集中诱杀。"
"6"	"赤条蝽"	"昆虫名，为半翅目，蝽科。主要危害胡萝卜、茴香等伞形花科植物及萝卜、白菜、洋葱、葱等蔬菜。其常栖息在寄主植物的叶片、花蕾及嫩荚上吸取汁液，植株生长衰弱，若留种菜受害可使种荚畸形、种子减产。"	"3"	"分布于东北、华北、西北、华东、华南及西南诸山区。西伯利亚东部、朝鲜和日本也有分布。"	"1.冬季清除田间枯枝落叶及杂草，沤肥或烧掉。2.成虫和若虫危害盛期选用2.5%天达溴氰菊酯乳油2000倍液、20%奇箭乳油1000倍液、21%增效氰马乳油2000倍液、20%速灭杀丁乳油2000倍液等药剂喷1-2次。收获前7天停止用药。"
"7"	"大青叶蝉"	"大青叶蝉（学名：Cicadella viridis）属同翅目叶蝉科，体长约7-11mm，在世界各地广泛分布，最多可年生5代。大青叶蝉危害多种植物的叶、茎，使其坏死或枯萎，此外，还可传染毒病。"	"5"	"国内分布于黑龙江、吉林、辽宁、内蒙古、河北、河南、山东、江苏、浙江、安徽、江西、台湾、福建、湖北、湖南、广东、海南、贵州、四川、陕西、甘肃、宁夏、青海、新疆等省区。国外分布于俄罗斯、日本、朝鲜、马来西亚、印度、加拿大、欧洲等地。"	"1.在成虫期利用灯光诱杀，可以大量消灭成虫。2、成虫早晨不活跃，可以在露水未平时，进行网捕。3、在9月底10月初，收获庄稼时或10月中旬左右，当雌成虫转移至树木产卵以及4月中旬越冬卵孵化，幼龄若虫转移到矮小植物上时，虫口集中，可以用90%敌百虫晶体、80%敌敌畏乳油、50%辛硫磷乳油、50%甲胺磷乳油1000倍液喷杀。"
"10"	"光肩星天牛"	"光肩星天牛黑色带有光泽，20～35mm长，7～12mm宽；触角11节，基部蓝黑色；每个覆翅有约20个白斑。寄主：悬铃木、柳、杨等，其幼虫蛀食树干，危害轻的降低木材质量，严重的能引起树木枯梢和风折；成虫咬食树叶或小树枝皮和木质部，危害杨、柳、元宝柳、榆、糖槭树。此虫尤其在“三北”防护林建设区及华北平原绿化区，广泛发生，严重危害杨树。受害的木质部被蛀空，树干风折或整株枯死。"	"5"	"分布于辽宁、河北、北京、天津，内蒙古，宁夏、陕西、甘肃、河南、山西、山东、江苏、安徽、江西、湖北、湖南、四川、上海及浙江、福建、广东、广西、云南、贵州；朝鲜、日本。"	"1.利用假死习性人工捕杀。2.在有虫处（蛀孔）涂抹敌敌畏（50倍液）或煤油；用50%杀螟松乳油100～200倍液、40%乐果乳油200～400倍液或50%辛硫磷乳油100～200倍液喷干，喷液量以树干流药液为止。3.幼虫长大蛀入木质部深处时，用注射器向蛀道内注射氨水；向蛀孔内投放56%磷化铝片（1/6或1/3片）；用磷化锌与草酸为主要成分制成的毒签插入蛀道内熏杀；4.在成虫盛发期捕捉成虫。"
"11"	"黑蚱蝉"	"黑蚱蝉为半翅目，蝉科。若虫在土壤中刺吸植物根部，成虫刺吸枝干，产卵造成植物枝干枯死。黑蚱蝉主要危害砂糖橘的枝梢，成虫用产卵器刺破枝条皮层，直达木质部，锯成2排锯齿状刻痕，并产卵于其中。产卵的枝条因皮部受损，枝条的输导系统受到严重的破坏，养分和水分输送受阻，受害枝条上部由于得不到水分的供应而枯死。被害枝条多数是当年的结果母枝，有些可能成为翌年的结果母枝，故枝梢受害不仅影响当年树势和产量，也影响翌年产量。"	"4"	"内蒙古、北京、河北、河南、山东、安徽、江苏、上海、浙江、湖北、湖南、福建、广东、海南、广西、四川等地有分布。"	"由于黑蚱蝉成虫发生量大，危害时期长，成虫易受惊扰而迁飞，因此在防治上连片果园种植区统一行动，采取综合防治的方法。1.彻底清除园边寄生植物。黑蚱蝉最喜苦楝、香椿、油桐、桉树等树上栖息，园边寄主树须彻底消除，避免招惹入园或断绝该虫迁栖转移，便于集中杀灭。2.结合冬季和夏季修剪，剪除被产卵而枯死的枝条，以消灭其中大量尚未孵化入土的卵粒，剪下枝条集中烧毁。由于其卵期长，利用其生活史中的这个弱点，坚持数年，收效显著。3.老熟若虫具有夜间上树羽化的习性，然而足端只有锐利的爪，而无爪间突，不能在光滑面上爬行。在树干基部包扎塑料薄膜或是透明胶，可阻止老熟若虫上树羽化，滞留在树干周围可人工捕杀或放鸡捕食。"
"14"	"虎斑蝶"	"虎斑蝶，Danaus genutia (Cramer)，是斑蝶属的一种，常见于湿地公园内。雄性虎斑蝶经常伏于吊裙草 (Crotalaria retusa) 上吸食汁液，以制造吸引异性的香气。虎斑蝶翅膀腹面鲜橙色，翅脉和翅边缘黑色，边缘上有两行小白点，前翅端黑褐色，翅端有大的黑色区，区内有一条由5个相邻的白色棒状白斑组成的白色斜带。"	"1"	"中国：分布于我国广东、广西、台湾、海南、四川、香港、云南等地，国外：斯里兰卡、安达曼群岛、尼科巴群岛、马来半岛、巴拉望岛等。"	"对经济和园林植物无危害记录。"
